IDSTUD,IDSCHOOL,TOTWGTS,IS18C_plan_capacity,ASDAGE,SEX_female,IS34_lang,prnt_ed_M,IS17G_miss_meals,IS01_prop_sch_time,IS09_comm_modes,IS21_teach_sup,IS18E_adult_help,IS14A,IS14C,IS14K,IS17A,IS17C,IS17E,IS25A,IS25B,IS25C,IS25D,IS25E,IS25F,IS25G,IS25H,IS25J,IT05F_indiv,IT06D_indep,IP13D_prnt_sup,IP21_remote_prep,IP34_locale_size,IP34A_public,IP1G35C_prop_disadvan,IP03_tech
10040120,1004,29.84049121301776,2.0,13.25,0,1,1.0,1.0,1.0,1.0,3.0,2.0,2.0,3.0,2.0,4.0,1.0,1.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,3.8666666666666667,3.4,3.0,4.0,3.0,1.0,3.0,2
10050101,1005,20.21267029230769,,13.17,1,1,,,1.0,3.0,,,,,,,,,,,,,,,,,,3.5294117647058822,2.8823529411764706,3.0,4.0,1.0,1.0,1.0,2
10050102,1005,20.21267029230769,3.0,13.33,1,1,3.0,4.0,2.0,2.0,3.25,1.0,3.0,3.0,2.0,4.0,2.0,2.0,3.0,3.0,3.0,2.0,2.0,3.0,2.0,4.0,3.0,3.5294117647058822,2.8823529411764706,3.0,4.0,1.0,1.0,1.0,2
10050103,1005,20.21267029230769,,12.83,1,1,,,1.0,2.0,,,,,,,,,,,,,,,,,,3.5294117647058822,2.8823529411764706,3.0,4.0,1.0,1.0,1.0,2
10050105,1005,20.21267029230769,,13.67,1,1,,,5.0,0.0,,,1.0,3.0,,,,,,,,,,,,,,3.5294117647058822,2.8823529411764706,3.0,4.0,1.0,1.0,1.0,2
10050106,1005,20.21267029230769,3.0,13.0,1,1,3.0,2.0,1.0,1.0,2.5,3.0,3.0,3.0,4.0,4.0,3.0,1.0,3.0,3.0,,3.0,2.0,3.0,1.0,2.0,3.0,3.5294117647058822,2.8823529411764706,3.0,4.0,1.0,1.0,1.0,2
10050107,1005,20.21267029230769,,14.42,1,1,,,1.0,4.0,,,2.0,3.0,,,,,,,,,,,,,,3.5294117647058822,2.8823529411764706,3.0,4.0,1.0,1.0,1.0,2
10050108,1005,20.21267029230769,,13.33,1,1,,,1.0,,,,,,,,,,,,,,,,,,,3.5294117647058822,2.8823529411764706,3.0,4.0,1.0,1.0,1.0,2
10050109,1005,20.21267029230769,,12.17,1,1,3.0,3.0,1.0,2.0,2.25,2.0,2.0,2.0,4.0,2.0,2.0,2.0,2.0,3.0,4.0,3.0,4.0,3.0,4.0,3.0,3.0,3.5294117647058822,2.8823529411764706,3.0,4.0,1.0,1.0,1.0,2
10050111,1005,20.21267029230769,1.0,13.67,1,1,1.5,1.0,1.0,2.0,2.5,2.0,3.0,3.0,2.0,4.0,2.0,4.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,3.5294117647058822,2.8823529411764706,3.0,4.0,1.0,1.0,1.0,2
10050113,1005,20.21267029230769,,12.92,1,1,,,1.0,,,,,,,,,,,,,,,,,,,3.5294117647058822,2.8823529411764706,3.0,4.0,1.0,1.0,1.0,2
10050114,1005,20.21267029230769,1.0,13.0,1,1,,2.0,1.0,1.0,2.5,3.0,2.0,2.0,3.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,3.0,3.0,2.0,4.0,2.0,3.5294117647058822,2.8823529411764706,3.0,4.0,1.0,1.0,1.0,2
10050115,1005,20.21267029230769,,13.92,1,1,,,5.0,,,,,,,,,,,,,,,,,,,3.5294117647058822,2.8823529411764706,3.0,4.0,1.0,1.0,1.0,2
10050118,1005,20.21267029230769,,13.08,1,1,,,1.0,1.0,,,,,,,,,,,,,,,,,,3.5294117647058822,2.8823529411764706,3.0,4.0,1.0,1.0,1.0,2
10050119,1005,20.21267029230769,3.0,12.83,1,1,,1.0,1.0,3.0,3.0,2.0,1.0,4.0,,4.0,1.0,1.0,,,,,,,,,,3.5294117647058822,2.8823529411764706,3.0,4.0,1.0,1.0,1.0,2
10050120,1005,20.21267029230769,3.0,13.0,1,1,3.0,1.0,5.0,,2.5,1.0,,,2.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,4.0,1.0,3.5294117647058822,2.8823529411764706,3.0,4.0,1.0,1.0,1.0,2
10060101,1006,26.36156884615385,3.0,13.5,1,1,4.0,1.0,1.0,2.0,3.0,1.0,1.0,4.0,3.0,4.0,2.0,1.0,2.0,,3.0,3.0,4.0,3.0,1.0,4.0,3.0,4.285714285714286,3.2857142857142856,2.0,4.0,1.0,1.0,1.0,2
10060102,1006,26.36156884615385,3.0,13.42,1,1,3.0,2.0,1.0,1.0,2.25,3.0,3.0,2.0,4.0,2.0,3.0,4.0,3.0,2.0,2.0,4.0,4.0,3.0,4.0,4.0,3.0,4.285714285714286,3.2857142857142856,2.0,4.0,1.0,1.0,1.0,2
10060103,1006,26.36156884615385,2.0,13.42,1,1,3.0,2.0,1.0,2.0,2.75,3.0,3.0,1.0,3.0,4.0,2.0,1.0,4.0,1.0,4.0,2.0,1.0,1.0,3.0,3.0,2.0,4.285714285714286,3.2857142857142856,2.0,4.0,1.0,1.0,1.0,2
10060106,1006,26.36156884615385,3.0,13.5,1,1,2.5,2.0,1.0,3.0,3.0,2.0,3.0,3.0,2.0,2.0,4.0,1.0,3.0,2.0,2.0,3.0,3.0,2.0,3.0,4.0,2.0,4.285714285714286,3.2857142857142856,2.0,4.0,1.0,1.0,1.0,2
10060108,1006,26.36156884615385,1.0,12.92,1,1,3.0,1.0,1.0,1.0,2.5,2.0,4.0,2.0,4.0,2.0,4.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,4.0,3.0,4.285714285714286,3.2857142857142856,2.0,4.0,1.0,1.0,1.0,2
