IDSTUD,IDSCHOOL,TOTWGTS,IS18C_plan_capacity,ASDAGE,SEX_female,IS34_lang,prnt_ed_M,IS17G_miss_meals,IS01_prop_sch_time,IS09_comm_modes,IS21_teach_sup,IS18E_adult_help,IS14A,IS14C,IS14K,IS17A,IS17C,IS17E,IS25A,IS25B,IS25C,IS25D,IS25E,IS25F,IS25G,IS25H,IS25J
10060116,1006,26.36156884615385,1,12.67,1,1,2,1,1,1,3.25,3,1,3,3,3,2,1,3,3,4,2,2,2,2,4,2
10060117,1006,26.36156884615385,3,13.67,1,1,3.5,1,1,0,1,1,2,3,4,1,1,1,4,3,2,4,4,3,2,1,4
10060118,1006,26.36156884615385,2,12.92,1,1,5,1,1,0,3.25,2,3,3,3,1,2,1,3,2,2,4,3,3,3,3,4
10060119,1006,26.36156884615385,2,13.83,1,1,3.5,1,1,1,2.75,2,2,3,2,4,1,1,3,2,3,2,2,2,3,2,2
10060120,1006,26.36156884615385,2,14.58,1,1,5,1,1,0,2.5,2,2,3,2,4,1,1,1,2,3,3,3,3,2,,3
10070101,1007,27.12283384807693,2,13.17,1,1,4,1,1,4,3.25,3,1,3,1,2,1,1,4,3,3,3,4,4,2,4,2
10070102,1007,27.12283384807693,3,12.08,1,1,3.5,2,1,2,3.5,2,2,3,3,1,4,4,4,4,4,3,2,4,4,4,4
10070103,1007,27.12283384807693,3,13.33,1,1,5,2,1,1,3,2,2,2,3,2,2,2,1,1,1,1,2,2,2,3,2
10070104,1007,27.12283384807693,2,13.42,1,1,3,2,4,3,3.25,2,2,2,4,2,4,3,4,4,4,3,4,3,4,4,4
10070105,1007,27.12283384807693,2,13.83,1,1,5,1,1,1,1.25,2,4,2,3,2,1,1,,,,,,,,,
10070106,1007,27.12283384807693,2,13.33,1,1,3,1,1,3,2.75,1,3,,2,1,1,2,4,3,2,3,4,3,1,4,2
10070107,1007,27.12283384807693,,12.83,1,1,3,,1,0,2.5,,,,1,,,,4,4,4,2,,,2,2,2
10070108,1007,27.12283384807693,3,13.5,1,1,3,4,1,2,3.5,2,1,3,3,4,3,1,2,3,2,3,3,2,2,3,3
10070109,1007,27.12283384807693,2,13.5,1,1,3,2,5,2,2.5,2,2,3,3,4,2,3,3,2,3,3,2,2,2,3,3
10070110,1007,27.12283384807693,1,13.25,1,1,4.5,2,1,1,3.25,2,3,1,4,3,,2,4,4,4,4,4,4,4,4,4
10070111,1007,27.12283384807693,3,13.67,1,1,3,3,1,3,2.75,2,3,1,3,1,2,2,1,1,2,3,3,3,3,3,2
10070112,1007,27.12283384807693,2,13.25,1,1,3,1,1,1,2.5,3,3,2,2,1,2,1,2,2,2,2,3,3,3,2,2
10070113,1007,27.12283384807693,2,13.5,1,1,3,1,1,1,3,2,3,3,2,4,1,1,3,2,3,2,2,2,2,,2
10070114,1007,27.12283384807693,2,13.83,1,1,3,1,,,3,2,,,1,4,1,1,4,4,4,1,1,1,1,4,1
10070115,1007,27.12283384807693,2,13.5,1,1,2.5,1,1,2,2.75,3,2,2,2,3,2,1,2,2,2,2,3,2,2,2,2
10070116,1007,27.12283384807693,3,12.92,1,1,2.5,1,1,0,3.25,3,1,2,2,2,4,1,2,2,2,1,1,1,1,4,2
10070117,1007,27.12283384807693,3,13.25,1,1,3,1,1,3,2.25,2,3,2,4,3,4,1,2,2,2,2,2,2,2,4,4
10070118,1007,27.12283384807693,1,13.25,1,1,4.5,4,1,2,2.75,1,2,2,3,1,1,1,2,2,2,2,3,2,4,4,4
10070119,1007,27.12283384807693,2,12.92,1,1,4,1,1,3,3.25,3,3,3,3,4,1,1,3,2,2,2,2,2,2,2,2
10070120,1007,27.12283384807693,2,13.83,1,1,3,1,3,4,2.75,3,3,3,4,2,1,1,3,2,2,1,1,2,2,1,1
10080102,1008,16.27118782692308,3,12.92,0,1,5,3,1,4,3.75,3,2,3,2,3,3,3,3,3,3,3,3,3,3,3,3
10080104,1008,16.27118782692308,3,13.5,0,1,4.5,3,1,4,4,3,2,2,1,3,3,3,3,3,3,3,3,3,3,3,3
10080105,1008,16.27118782692308,2,13.92,0,1,5,2,1,4,3.75,2,2,3,2,2,2,2,3,3,3,3,3,3,3,3,3
10080106,1008,16.27118782692308,3,14.17,0,1,5,2,1,4,3,3,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3
10080107,1008,16.27118782692308,2,12.08,0,1,5,2,1,4,3,2,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2
10080108,1008,16.27118782692308,3,13.42,0,1,5,3,1,4,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3
10080109,1008,16.27118782692308,2,13.25,0,1,4.5,2,1,4,3,2,1,3,2,2,1,1,3,3,3,3,3,3,3,3,3
10080110,1008,16.27118782692308,3,13.58,0,1,4.5,1,1,4,3,3,2,3,2,3,1,1,3,3,3,3,3,3,3,3,3
10080111,1008,16.27118782692308,3,14,0,1,3.5,3,1,4,3,3,2,3,2,3,3,3,3,3,3,3,3,3,3,3,3
10080112,1008,16.27118782692308,3,13.75,0,1,5,3,1,4,3.75,3,2,3,2,3,3,3,3,3,3,3,3,3,3,3,3
10080113,1008,16.27118782692308,2,12.17,0,1,5,3,1,4,2.25,2,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3
10080114,1008,16.27118782692308,2,13.58,0,1,5,2,1,3,3,2,2,3,2,2,2,2,3,3,3,3,3,3,3,3,3
10080115,1008,16.27118782692308,2,14.58,0,1,5,2,1,4,3,2,3,3,2,2,2,2,3,3,3,3,3,3,3,3,3
10080116,1008,16.27118782692308,3,13.17,0,1,5,2,1,4,3.75,3,2,3,2,2,2,2,3,3,3,3,2,2,2,2,2
10080117,1008,16.27118782692308,2,12,0,1,5,2,1,4,3.25,2,2,2,1,2,2,2,3,3,3,3,3,3,3,3,3
10080118,1008,16.27118782692308,2,13.75,0,1,5,2,1,4,3,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3
10080119,1008,16.27118782692308,2,13.58,0,1,2.5,1,,1,3,2,3,3,2,2,1,2,2,2,2,2,2,2,2,2,2
10080120,1008,16.27118782692308,2,12.83,0,1,3.5,3,1,4,2.75,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
10090101,1009,21.74076109311741,3,13.67,0,1,3,1,1,2,2.5,3,2,2,3,2,2,1,4,2,4,4,4,2,3,4,4
10090102,1009,21.74076109311741,2,12.92,0,1,4.5,1,1,1,2,2,2,3,2,4,1,1,4,4,4,1,2,2,3,2,1
10090103,1009,21.74076109311741,3,13.33,0,1,1.5,3,1,4,3.25,3,3,3,1,2,2,2,4,4,4,3,3,3,4,4,4
10090104,1009,21.74076109311741,,12.67,0,1,4,,,,,,3,,,,,,,,,,4,,,,
10090105,1009,21.74076109311741,3,13.67,0,1,2,3,1,2,3.25,3,3,2,3,2,4,3,4,4,4,2,2,2,3,3,3
10090106,1009,21.74076109311741,2,13.67,0,1,3,1,1,1,2.5,3,2,3,2,2,1,1,2,2,2,2,3,2,2,3,2
10090107,1009,21.74076109311741,3,13.58,0,1,1,2,1,3,2.75,3,3,4,3,,1,2,3,2,3,3,2,2,2,3,4
10090108,1009,21.74076109311741,3,13.75,0,1,1.5,2,1,3,3.25,3,2,,4,2,1,1,3,3,3,3,3,3,3,3,3
10090109,1009,21.74076109311741,1,13.67,0,1,2,2,1,2,2.5,1,2,2,2,2,2,2,2,2,,2,2,4,2,1,3
10090110,1009,21.74076109311741,2,13,0,1,3.5,1,1,2,3,1,4,3,3,1,2,1,4,2,3,3,2,3,4,3,3
10090111,1009,21.74076109311741,3,13.58,0,1,3,1,1,4,2.5,3,2,1,2,4,1,1,1,2,2,2,2,2,2,3,2
10090112,1009,21.74076109311741,2,12.83,0,1,2.5,3,1,3,1.75,2,3,4,3,1,4,3,3,2,2,2,2,2,3,3,
10090114,1009,21.74076109311741,2,13.67,0,1,4,4,1,3,3.75,2,,,2,3,1,3,4,4,4,2,2,2,2,4,2
10090115,1009,21.74076109311741,2,15.33,0,1,2.5,4,5,0,3,2,3,3,2,3,4,3,3,3,3,3,3,3,3,3,3
10090116,1009,21.74076109311741,2,13,0,1,2.5,2,1,3,2.75,2,3,3,3,3,3,1,2,2,2,3,3,2,3,3,3
10090117,1009,21.74076109311741,3,13.92,0,1,3,4,,3,3.25,2,2,2,4,2,4,1,4,4,4,4,4,4,4,4,4
10090118,1009,21.74076109311741,2,14.58,0,1,4,1,1,4,3,2,3,3,3,2,1,1,3,3,3,3,3,3,3,3,3
10090119,1009,21.74076109311741,2,13.75,0,1,3.5,2,,3,3.25,2,2,2,2,3,2,2,3,2,4,1,3,3,3,4,2
10090120,1009,21.74076109311741,1,13.33,0,1,2,2,1,0,3,2,3,2,4,1,3,1,1,1,1,4,4,4,4,4,4
10100101,1010,17.87507632692308,1,13.25,1,1,4,3,1,0,2.75,2,3,2,4,3,2,3,3,3,2,4,4,4,4,4,4
10100102,1010,17.87507632692308,,14,1,1,5,,3,1,,,3,2,,,,,,,,,,,,,
10100103,1010,17.87507632692308,2,15.83,1,1,1.5,2,3,2,3.5,2,2,2,2,4,1,1,3,3,3,2,2,2,2,2,2
10100104,1010,17.87507632692308,,13.08,1,1,2,,,,,,,,,,,,,,,,,,,,
10100105,1010,17.87507632692308,1,13.17,1,1,2.5,2,1,2,2.5,1,3,2,3,2,2,2,3,3,3,3,3,3,3,3,3
10100106,1010,17.87507632692308,3,13.75,1,1,,1,,,3,2,,,2,4,2,1,3,2,2,2,2,2,3,4,3
10100107,1010,17.87507632692308,2,12.17,1,1,4.5,2,1,4,2.75,1,3,4,4,2,1,1,3,3,3,2,4,4,4,4,4
10100108,1010,17.87507632692308,3,12,1,1,5,3,1,,2.75,2,2,2,2,2,1,2,3,3,3,3,3,2,3,3,2
10100109,1010,17.87507632692308,3,13.58,1,1,1,2,5,,3.25,1,3,2,3,4,1,2,4,4,2,4,4,4,1,4,1
